Name,Time,Cumulative PnL
Taker,2021-Nov-05 15:28:25.322865,-394.570483
Taker,2021-Nov-05 15:29:27.131183,-394.570483
Taker,2021-Nov-05 15:30:29.597328,-71.570483
Taker,2021-Nov-05 15:31:30.678031,-394.570483
Taker,2021-Nov-05 15:32:33.556888,-44.570483
Taker,2021-Nov-05 15:33:35.210021,-8.570483
Taker,2021-Nov-05 15:34:38.021366,-19.570483
Taker,2021-Nov-05 15:35:39.287851,-394.570483
Taker,2021-Nov-05 15:36:41.258032,-28.570483
Taker,2021-Nov-05 15:37:43.066307,-394.570483
Taker,2021-Nov-05 15:38:46.093042,-2.570483
Taker,2021-Nov-05 15:39:47.835868,15.429517
Taker,2021-Nov-05 15:40:50.377893,-394.570483
Taker,2021-Nov-05 15:41:57.740911,18.429517
Taker,2021-Nov-05 15:42:58.568514,14.429517
Taker,2021-Nov-05 15:44:00.045445,17.429517
Taker,2021-Nov-05 15:45:02.011452,-394.570483
Taker,2021-Nov-05 15:46:02.483661,3.429517
Taker,2021-Nov-05 15:47:04.007663,1.429517
Taker,2021-Nov-05 15:48:04.826700,-394.570483
Taker,2021-Nov-05 15:49:05.705212,44.429517
Taker,2021-Nov-05 15:50:07.514326,46.429517
Taker,2021-Nov-05 15:51:10.187979,-394.570483
Taker,2021-Nov-05 15:52:11.982469,-394.570483
Taker,2021-Nov-05 15:53:13.336659,-394.570483
Taker,2021-Nov-05 15:54:15.498969,-394.570483
Taker,2021-Nov-05 15:55:16.415796,50.429517
Taker,2021-Nov-05 15:56:18.038426,-394.570483
Taker,2021-Nov-05 15:57:18.716736,8.429517
Taker,2021-Nov-05 15:58:26.613963,-394.570483
Taker,2021-Nov-05 15:59:28.293054,36.429517
Taker,2021-Nov-05 16:00:29.355770,5.429517
Taker,2021-Nov-05 16:01:30.933353,-394.570483
Taker,2021-Nov-05 16:02:32.263299,1.429517
Taker,2021-Nov-05 16:03:32.758054,-394.570483
Taker,2021-Nov-05 16:04:35.110828,-394.570483
Taker,2021-Nov-05 16:05:37.017978,-394.570483
Taker,2021-Nov-05 16:06:38.370125,-394.570483
Taker,2021-Nov-05 16:07:39.823380,-10.570483
Taker,2021-Nov-05 16:08:41.159610,-394.570483
Taker,2021-Nov-05 16:09:46.105274,-394.570483
Taker,2021-Nov-05 16:10:47.672375,-394.570483
Taker,2021-Nov-05 16:11:48.870802,-23.570483
Taker,2021-Nov-05 16:12:50.385233,-394.570483
Taker,2021-Nov-05 16:13:51.757841,-394.570483
Taker,2021-Nov-05 16:14:54.053445,-13.570483
Taker,2021-Nov-05 16:15:55.355944,-394.570483
Taker,2021-Nov-05 16:16:55.977047,-19.570483
Taker,2021-Nov-05 16:17:57.321121,-39.570483
