Name,Time,Cumulative PnL
Taker,2021-Nov-05 13:30:06.436740,0.000000
Taker,2021-Nov-05 13:31:06.621860,-0.995978
Taker,2021-Nov-05 13:32:06.862161,-2048.551434
Taker,2021-Nov-05 13:33:07.058541,-299.829078
Taker,2021-Nov-05 13:34:07.094796,-1199.891474
Taker,2021-Nov-05 13:35:07.186631,-1057.298204
Taker,2021-Nov-05 13:36:07.471284,-371.891485
Taker,2021-Nov-05 13:37:07.637433,-2014.251485
Taker,2021-Nov-05 13:38:07.913494,-1968.045732
Taker,2021-Nov-05 13:39:08.050830,-324.029184
Taker,2021-Nov-05 13:40:08.481814,-1600.655400
Taker,2021-Nov-05 13:41:08.635878,-309.308078
Taker,2021-Nov-05 13:42:08.747512,-445.128078
Taker,2021-Nov-05 13:43:08.910405,-1069.900677
Taker,2021-Nov-05 13:44:09.046664,-370.754651
Taker,2021-Nov-05 13:45:09.119868,-420.757928
Taker,2021-Nov-05 13:46:09.226452,-376.042907
Taker,2021-Nov-05 13:47:09.577024,-1647.219528
Taker,2021-Nov-05 13:48:09.788468,-1704.544149
Taker,2021-Nov-05 13:49:09.871056,-2516.392702
Taker,2021-Nov-05 13:50:10.050932,-2187.392702
Taker,2021-Nov-05 13:51:10.377722,-2035.392702
Taker,2021-Nov-05 13:52:10.553938,-3105.012702
Taker,2021-Nov-05 13:53:10.852877,-1986.512702
Taker,2021-Nov-05 13:54:11.102416,-1966.512702
Taker,2021-Nov-05 13:55:11.251249,-3292.926744
Taker,2021-Nov-05 13:56:11.420204,-2173.426744
Taker,2021-Nov-05 13:57:11.586684,-2589.981378
Taker,2021-Nov-05 13:58:11.776329,-2510.981378
Taker,2021-Nov-05 13:59:12.017449,-3663.510178
Taker,2021-Nov-05 14:00:12.298960,-2003.200178
Taker,2021-Nov-05 14:01:12.406766,-1297.755582
Taker,2021-Nov-05 14:02:12.516791,-835.795582
Taker,2021-Nov-05 14:03:12.640896,-2222.145582
Taker,2021-Nov-05 14:04:12.938002,-1822.920582
Taker,2021-Nov-05 14:05:13.176410,-601.535582
Taker,2021-Nov-05 14:06:13.502756,-1341.619582
Taker,2021-Nov-05 14:07:13.778498,-907.089582
Taker,2021-Nov-05 14:08:14.007543,-2092.833464
Taker,2021-Nov-05 14:09:14.301020,-2008.032069
Taker,2021-Nov-05 14:10:14.775131,-1096.002069
Taker,2021-Nov-05 14:11:15.010660,-924.449609
Taker,2021-Nov-05 14:12:15.151680,-1815.252668
Taker,2021-Nov-05 14:13:15.304850,-1081.032668
Taker,2021-Nov-05 14:14:15.438609,-2506.392668
Taker,2021-Nov-05 14:15:15.655940,-1292.248614
Taker,2021-Nov-05 14:16:15.813656,-1371.393897
Taker,2021-Nov-05 14:17:16.008092,-1778.393897
Taker,2021-Nov-05 14:18:16.184787,-1869.513897
Taker,2021-Nov-05 14:19:16.558886,-2266.513897
Taker,2021-Nov-05 14:20:16.703291,-2875.513897
Taker,2021-Nov-05 14:21:16.935926,-1202.513897
Taker,2021-Nov-05 14:22:17.117216,-408.513897
Taker,2021-Nov-05 14:23:17.226445,-3746.513897
Taker,2021-Nov-05 14:24:17.378992,-2714.765005
Taker,2021-Nov-05 14:25:17.658461,-2519.765005
Taker,2021-Nov-05 14:26:18.124050,-2499.885005
Taker,2021-Nov-05 14:27:18.511067,-3600.885005
Taker,2021-Nov-05 14:28:18.620396,-2214.256022
Taker,2021-Nov-05 14:29:18.780229,-2376.256022
Taker,2021-Nov-05 14:30:18.961436,-2897.256022
Taker,2021-Nov-05 14:31:19.065390,-2528.756022
Taker,2021-Nov-05 14:32:19.510753,-1411.256022
Taker,2021-Nov-05 14:33:19.840749,-1781.256022
Taker,2021-Nov-05 14:34:20.075820,-3007.256022
Taker,2021-Nov-05 14:35:20.571666,-1818.256022
Taker,2021-Nov-05 14:36:20.837432,-2510.256022
Taker,2021-Nov-05 14:37:20.940041,-2246.256022
Taker,2021-Nov-05 14:38:21.036101,-3380.256022
Taker,2021-Nov-05 14:39:21.525956,-2508.256022
Taker,2021-Nov-05 14:40:21.845419,-3058.376022
Taker,2021-Nov-05 14:41:21.895485,-1200.376022
Taker,2021-Nov-05 14:42:22.160132,-1162.376022
Taker,2021-Nov-05 14:43:22.417225,-3026.496022
Taker,2021-Nov-05 14:44:22.652670,-852.746659
Taker,2021-Nov-05 14:45:22.864788,-3392.746659
Taker,2021-Nov-05 14:46:23.035054,-2566.366659
Taker,2021-Nov-05 14:47:23.508018,-1997.866659
Taker,2021-Nov-05 14:48:23.565765,-3038.610320
Taker,2021-Nov-05 14:49:24.159386,-2492.110320
Taker,2021-Nov-05 14:50:24.454748,-3063.110320
Taker,2021-Nov-05 14:51:24.621884,-2523.110320
Taker,2021-Nov-05 14:52:24.854330,-1628.110320
Taker,2021-Nov-05 14:53:25.096079,-2344.230320
Taker,2021-Nov-05 14:54:25.483639,-3241.852371
Taker,2021-Nov-05 14:55:25.818880,-3105.974557
Taker,2021-Nov-05 14:56:26.055269,-1081.474557
Taker,2021-Nov-05 14:57:26.204881,-2657.474557
Taker,2021-Nov-05 14:58:26.711683,-2293.474557
Taker,2021-Nov-05 14:59:27.185686,-3713.474557
Taker,2021-Nov-05 15:00:28.012370,-2647.474557
Taker,2021-Nov-05 15:01:28.218662,-2164.474557
Taker,2021-Nov-05 15:02:28.354920,-1671.474557
Taker,2021-Nov-05 15:03:28.737969,-3020.474557
Taker,2021-Nov-05 15:04:28.999240,-2708.474557
Taker,2021-Nov-05 15:05:29.912709,-2373.474557
Taker,2021-Nov-05 15:06:30.048185,-1906.474557
Taker,2021-Nov-05 15:07:30.454971,-3069.474557
Taker,2021-Nov-05 15:08:30.985155,-3368.474557
Taker,2021-Nov-05 15:09:31.169786,-3366.474557
Taker,2021-Nov-05 15:10:31.526524,-2224.474557
Taker,2021-Nov-05 15:11:32.189370,-2639.474557
Taker,2021-Nov-05 15:12:32.861469,-2739.474557
Taker,2021-Nov-05 15:13:32.949232,-1427.474557
Taker,2021-Nov-05 15:14:33.096439,-2104.474557
Taker,2021-Nov-05 15:15:33.755009,-948.474557
Taker,2021-Nov-05 15:16:34.365161,-1280.474557
Taker,2021-Nov-05 15:17:34.770190,-3478.474557
Taker,2021-Nov-05 15:18:35.226042,-2673.474557
Taker,2021-Nov-05 15:19:35.718871,-1864.594557
Taker,2021-Nov-05 15:20:35.917234,-2557.445484
Taker,2021-Nov-05 15:21:36.257231,-2648.445484
Taker,2021-Nov-05 15:22:36.932966,-868.445484
Taker,2021-Nov-05 15:23:37.633227,-2228.445484
Taker,2021-Nov-05 15:24:38.130247,-739.865251
Taker,2021-Nov-05 15:25:38.507112,-2948.865251
Taker,2021-Nov-05 15:26:38.787006,-1263.865251
Taker,2021-Nov-05 15:27:39.017505,-1188.865251
Taker,2021-Nov-05 15:28:39.462488,-2591.865251
Taker,2021-Nov-05 15:29:39.585509,-2530.865251
Taker,2021-Nov-05 15:30:39.933614,-3126.461251
Taker,2021-Nov-05 15:31:40.188848,-3145.961251
Taker,2021-Nov-05 15:32:40.261416,-3162.461251
Taker,2021-Nov-05 15:33:41.249422,-3297.461251
Taker,2021-Nov-05 15:34:41.517864,-3277.461251
Taker,2021-Nov-05 15:35:41.846982,-3010.461251
Taker,2021-Nov-05 15:36:42.151068,-1973.461251
Taker,2021-Nov-05 15:37:42.461912,-1676.461251
Taker,2021-Nov-05 15:38:42.769180,-2628.461251
Taker,2021-Nov-05 15:39:42.998544,-3276.461251
Taker,2021-Nov-05 15:40:43.138098,-2656.581251
Taker,2021-Nov-05 15:41:43.724720,-2027.581251
Taker,2021-Nov-05 15:42:44.194755,-3339.581251
Taker,2021-Nov-05 15:43:44.417403,-2255.976614
Taker,2021-Nov-05 15:44:44.625888,-1858.096614
Taker,2021-Nov-05 15:45:44.952732,-2962.096614
Taker,2021-Nov-05 15:46:45.262452,-2306.096614
Taker,2021-Nov-05 15:47:45.765296,-1732.096614
Taker,2021-Nov-05 15:48:46.016642,-1189.096614
Taker,2021-Nov-05 15:49:46.936536,-2967.096614
Taker,2021-Nov-05 15:50:47.071788,-1108.096614
Taker,2021-Nov-05 15:51:47.265871,-872.096614
Taker,2021-Nov-05 15:52:47.639062,-876.096614
Taker,2021-Nov-05 15:53:48.116109,-1578.096614
Taker,2021-Nov-05 15:54:48.297420,-1234.096614
Taker,2021-Nov-05 15:55:48.504197,-830.096614
Taker,2021-Nov-05 15:56:48.945483,-531.216614
Taker,2021-Nov-05 15:57:48.983441,-1226.336614
Taker,2021-Nov-05 15:58:49.323890,-1363.336614
Taker,2021-Nov-05 15:59:49.559961,-8534.456614
Taker,2021-Nov-05 16:00:49.797743,-1834.456614
Taker,2021-Nov-05 16:01:50.417526,-2124.493939
Taker,2021-Nov-05 16:02:50.466867,-934.493939
Taker,2021-Nov-05 16:03:50.757990,-838.493939
Taker,2021-Nov-05 16:04:50.873946,-1408.493939
Taker,2021-Nov-05 16:05:51.196989,-1431.493939
Taker,2021-Nov-05 16:06:51.483066,-3222.493939
Taker,2021-Nov-05 16:07:52.134688,-3512.493939
Taker,2021-Nov-05 16:08:52.443745,-1711.493939
Taker,2021-Nov-05 16:09:52.588884,-1389.493939
Taker,2021-Nov-05 16:10:52.886501,-2037.993939
Taker,2021-Nov-05 16:11:53.193626,-1101.493939
Taker,2021-Nov-05 16:12:53.229595,-2342.493939
Taker,2021-Nov-05 16:13:53.590833,-1243.493939
Taker,2021-Nov-05 16:14:54.042690,-1597.613939
Taker,2021-Nov-05 16:15:54.464730,-2790.613939
Taker,2021-Nov-05 16:16:55.076569,-2521.613939
Taker,2021-Nov-05 16:17:55.330849,-1355.613939
Taker,2021-Nov-05 16:18:55.516559,-1644.613939
Taker,2021-Nov-05 16:19:56.128321,-839.613939
Taker,2021-Nov-05 16:20:56.331616,-709.613939
Taker,2021-Nov-05 16:21:56.399600,-2908.613939
Taker,2021-Nov-05 16:22:56.654417,-3562.613939
Taker,2021-Nov-05 16:23:56.879361,-2288.113939
Taker,2021-Nov-05 16:24:57.034182,-2851.613939
Taker,2021-Nov-05 16:25:57.186048,-2638.613939
Taker,2021-Nov-05 16:26:57.394169,-1176.613939
Taker,2021-Nov-05 16:27:57.894627,-1249.613939
Taker,2021-Nov-05 16:28:58.175792,-2561.113939
Taker,2021-Nov-05 16:29:58.493327,-3496.613939
Taker,2021-Nov-05 16:30:59.011949,-523.613939
Taker,2021-Nov-05 16:31:59.420918,-1157.613939
Taker,2021-Nov-05 16:32:59.518149,-1840.613939
Taker,2021-Nov-05 16:33:59.791697,-2608.613939
Taker,2021-Nov-05 16:35:00.007291,-2537.613939
Taker,2021-Nov-05 16:36:00.197285,-2485.613939
Taker,2021-Nov-05 16:37:00.406690,-2501.613939
Taker,2021-Nov-05 16:38:00.544969,-3294.649875
Taker,2021-Nov-05 16:39:01.470087,-2738.769875
Taker,2021-Nov-05 16:40:01.668057,-1959.769875
Taker,2021-Nov-05 16:41:02.083904,-2756.769875
Taker,2021-Nov-05 16:42:02.656983,-159.769875
Taker,2021-Nov-05 16:43:02.836094,-210.769875
Taker,2021-Nov-05 16:44:03.168278,-943.769875
Taker,2021-Nov-05 16:45:03.337713,-956.769875
Taker,2021-Nov-05 16:46:03.895823,-1299.769875
Taker,2021-Nov-05 16:47:04.303766,-946.769875
Taker,2021-Nov-05 16:48:04.604028,-49.769875
Taker,2021-Nov-05 16:49:04.884811,25.230125
Taker,2021-Nov-05 16:50:05.622096,-484.769875
Taker,2021-Nov-05 16:51:05.985395,-1201.769875
Taker,2021-Nov-05 16:52:06.056180,-2026.769875
Taker,2021-Nov-05 16:53:06.526510,-1348.769875
Taker,2021-Nov-05 16:54:06.759098,-938.769875
Taker,2021-Nov-05 16:55:07.698352,-1231.769875
Taker,2021-Nov-05 16:56:07.750810,-1263.769875
Taker,2021-Nov-05 16:57:07.869903,-797.769875
Taker,2021-Nov-05 16:58:08.054654,-808.894675
Taker,2021-Nov-05 16:59:08.146647,5.545325
Taker,2021-Nov-05 17:00:08.434082,-1092.894675
