StrategyName,TradeTime,Symbol,Quantity,Price,ExecutionCost,LiquidityAction,LiquidityCode,RawLiquidity,Account,Trader,MarketCenter,OrderID,ExecID,TransactionType
Taker,2021-Nov-05 13:31:01.743644,MSFT,100,337.490000,0.120000,ADDED,0,,SIM-1001-101,dlariviere,NASDAQ,367709330081515,,FILL
Taker,2021-Nov-05 13:31:02.096240,MSFT,-100,337.490000,0.875978,ADDED,0,,SIM-1001-101,dlariviere,NASDAQ,367709330081517,,FILL
Taker,2021-Nov-05 13:31:08.086834,IBM,-100,121.810000,0.392854,ADDED,0,,SIM-1001-101,dlariviere,NASDAQ,367709330081505,,FILL
Taker,2021-Nov-05 13:31:11.870733,CSCO,100,57.380000,0.120000,ADDED,0,,SIM-1001-101,dlariviere,NASDAQ,367709330081521,,FILL
Taker,2021-Nov-05 13:31:17.566013,BA,60,219.290000,0.072000,ADDED,0,,SIM-1001-101,dlariviere,NASDAQ,367709330081524,,FILL
Taker,2021-Nov-05 13:31:17.566027,BA,12,219.290000,0.014400,ADDED,0,,SIM-1001-101,dlariviere,NASDAQ,367709330081524,,FILL
Taker,2021-Nov-05 13:31:42.676598,MSFT,100,337.530000,0.120000,ADDED,0,,SIM-1001-101,dlariviere,NASDAQ,367709330081528,,FILL
Taker,2021-Nov-05 13:31:44.089235,MSFT,-100,337.590000,0.876202,ADDED,0,,SIM-1001-101,dlariviere,NASDAQ,367709330081530,,FILL
Taker,2021-Nov-05 13:31:46.098978,MSFT,25,337.710000,0.030000,ADDED,0,,SIM-1001-101,dlariviere,NASDAQ,367709330081531,,FILL
Taker,2021-Nov-05 13:31:46.099078,MSFT,75,337.710000,0.090000,ADDED,0,,SIM-1001-101,dlariviere,NASDAQ,367709330081531,,FILL
Taker,2021-Nov-05 13:32:16.721327,AXP,-100,176.030000,0.514307,ADDED,0,,SIM-1001-101,dlariviere,NASDAQ,367709330081533,,FILL
Taker,2021-Nov-05 13:33:00.399371,AXP,90,175.890000,0.108000,ADDED,0,,SIM-1001-101,dlariviere,NASDAQ,367709330081537,,FILL
Taker,2021-Nov-05 13:33:00.399985,AXP,100,175.890000,0.120000,ADDED,0,,SIM-1001-101,dlariviere,NASDAQ,367709330081537,,FILL
Taker,2021-Nov-05 13:33:00.547857,CVX,-100,113.990000,0.375338,ADDED,0,,SIM-1001-101,dlariviere,NASDAQ,367709330081542,,FILL
Taker,2021-Nov-05 13:33:01.853693,HD,100,373.480000,0.120000,ADDED,0,,SIM-1001-101,dlariviere,NASDAQ,367709330081539,,FILL
Taker,2021-Nov-05 13:33:19.445317,CAT,100,205.400000,0.120000,ADDED,0,,SIM-1001-101,dlariviere,NASDAQ,367709330081540,,FILL
Taker,2021-Nov-05 13:33:27.636120,CAT,-33,205.390000,0.191424,ADDED,0,,SIM-1001-101,dlariviere,NASDAQ,367709330081553,,FILL
Taker,2021-Nov-05 13:33:44.153227,CAT,-67,205.660000,0.389055,ADDED,0,,SIM-1001-101,dlariviere,NASDAQ,367709330081555,,FILL
Taker,2021-Nov-05 13:33:45.427426,IBM,100,121.750000,0.120000,ADDED,0,,SIM-1001-101,dlariviere,NASDAQ,367709330081520,,FILL
Taker,2021-Nov-05 13:34:02.688205,HON,-100,224.070000,0.621917,ADDED,0,,SIM-1001-101,dlariviere,NASDAQ,367709330081551,,FILL
Taker,2021-Nov-05 13:34:22.185591,HD,-50,373.540000,0.478365,ADDED,0,,SIM-1001-101,dlariviere,NASDAQ,367709330081545,,FILL
Taker,2021-Nov-05 13:34:22.185605,HD,-50,373.540000,0.478365,ADDED,0,,SIM-1001-101,dlariviere,NASDAQ,367709330081545,,FILL
Taker,2021-Nov-05 13:35:22.860236,BA,-72,218.870000,0.439394,ADDED,0,,SIM-1001-101,dlariviere,NASDAQ,367709330081573,,FILL
Taker,2021-Nov-05 13:35:24.695712,GS,-4,411.700000,0.041688,ADDED,0,,SIM-1001-101,dlariviere,NASDAQ,367709330081574,,FILL
Taker,2021-Nov-05 13:35:24.696329,GS,-49,411.700000,0.510682,ADDED,0,,SIM-1001-101,dlariviere,NASDAQ,367709330081574,,FILL
Taker,2021-Nov-05 13:35:42.013854,GS,-47,411.700000,0.489838,ADDED,0,,SIM-1001-101,dlariviere,NASDAQ,367709330081574,,FILL
Taker,2021-Nov-05 13:36:07.349309,BA,-100,219.500000,0.611680,ADDED,0,,SIM-1001-101,dlariviere,NASDAQ,367709330081579,,FILL
Taker,2021-Nov-05 13:36:14.805274,BA,200,219.500000,0.240000,ADDED,0,,SIM-1001-101,dlariviere,NASDAQ,367709330081581,,FILL
Taker,2021-Nov-05 13:37:03.381935,DIS,6,173.200000,0.007200,ADDED,0,,SIM-1001-101,dlariviere,NASDAQ,367709330081585,,FILL
Taker,2021-Nov-05 13:37:03.382398,DIS,94,173.200000,0.112800,ADDED,0,,SIM-1001-101,dlariviere,NASDAQ,367709330081585,,FILL
Taker,2021-Nov-05 13:37:34.997284,MSFT,-50,337.640000,0.438157,ADDED,0,,SIM-1001-101,dlariviere,NASDAQ,367709330081532,,FILL
