Name,Time,Cumulative PnL
Toy,2021-Nov-05 15:26:21.590253,-131.335191
Toy,2021-Nov-05 15:27:22.690855,-61.335191
Toy,2021-Nov-05 15:28:25.322865,-43.335191
Toy,2021-Nov-05 15:29:27.131183,-31.335191
Toy,2021-Nov-05 15:30:29.597328,-36.335191
Toy,2021-Nov-05 15:31:30.678031,-131.335191
Toy,2021-Nov-05 15:32:33.556888,-131.335191
Toy,2021-Nov-05 15:33:35.210021,-90.335191
Toy,2021-Nov-05 15:34:38.021366,-87.335191
Toy,2021-Nov-05 15:35:39.287851,-131.335191
Toy,2021-Nov-05 15:36:41.258032,-89.335191
Toy,2021-Nov-05 15:37:43.066307,-131.335191
Toy,2021-Nov-05 15:38:46.093042,-131.335191
Toy,2021-Nov-05 15:39:47.835868,-131.335191
Toy,2021-Nov-05 15:40:50.377893,-131.335191
Toy,2021-Nov-05 15:41:57.740911,-117.335191
Toy,2021-Nov-05 15:42:58.568514,-131.335191
Toy,2021-Nov-05 15:44:00.045445,-131.335191
Toy,2021-Nov-05 15:45:02.011452,-131.335191
Toy,2021-Nov-05 15:46:02.483661,-131.335191
Toy,2021-Nov-05 15:47:04.007663,-100.335191
Toy,2021-Nov-05 15:48:04.826700,-131.335191
Toy,2021-Nov-05 15:49:05.705212,-145.335191
Toy,2021-Nov-05 15:50:07.514326,-276.335191
Toy,2021-Nov-05 15:51:10.187979,-153.335191
Toy,2021-Nov-05 15:52:11.982469,-142.335191
Toy,2021-Nov-05 15:53:13.336659,-144.335191
Toy,2021-Nov-05 15:54:15.498969,-143.335191
Toy,2021-Nov-05 15:55:16.415796,-276.335191
Toy,2021-Nov-05 15:56:18.038426,-276.335191
Toy,2021-Nov-05 15:57:18.716736,-106.335191
Toy,2021-Nov-05 15:58:26.613963,-109.335191
Toy,2021-Nov-05 15:59:28.293054,-136.335191
Toy,2021-Nov-05 16:00:29.355770,-105.335191
Toy,2021-Nov-05 16:01:30.933353,-105.335191
Toy,2021-Nov-05 16:02:32.263299,-103.335191
Toy,2021-Nov-05 16:03:32.758054,-120.335191
Toy,2021-Nov-05 16:04:35.110828,-108.335191
Toy,2021-Nov-05 16:05:37.017978,-100.335191
Toy,2021-Nov-05 16:06:38.370125,-94.335191
Toy,2021-Nov-05 16:07:39.823380,-87.335191
Toy,2021-Nov-05 16:08:41.159610,-85.335191
Toy,2021-Nov-05 16:09:46.105274,-89.335191
Toy,2021-Nov-05 16:10:47.672375,-81.335191
Toy,2021-Nov-05 16:11:48.870802,-276.335191
Toy,2021-Nov-05 16:12:50.385233,-276.335191
Toy,2021-Nov-05 16:13:51.757841,-276.335191
