StrategyName,TradeTime,Symbol,Quantity,Price,ExecutionCost,LiquidityAction,LiquidityCode,RawLiquidity,Account,Trader,MarketCenter,OrderID,ExecID,TransactionType
Toy,2021-Nov-05 14:58:48.221159,CRM,-5,307.570000,0.040448,ADDED,0,,SIM-1001-101,dlariviere,NASDAQ,367709330082121,,FILL
Toy,2021-Nov-05 14:58:50.582669,CRM,-35,307.570000,0.283135,ADDED,0,,SIM-1001-101,dlariviere,NASDAQ,367709330082121,,FILL
Toy,2021-Nov-05 15:02:52.246358,CRM,200,307.570000,0.240000,ADDED,0,,SIM-1001-101,dlariviere,NASDAQ,367709330082122,,FILL
Toy,2021-Nov-05 15:30:44.474744,GS,2,411.760000,0.002400,ADDED,0,,SIM-1001-101,dlariviere,NASDAQ,367709330082078,,FILL
Toy,2021-Nov-05 15:37:46.684925,GS,100,411.160000,0.120000,ADDED,0,,SIM-1001-101,dlariviere,NASDAQ,367709330082131,,FILL
Toy,2021-Nov-05 15:38:45.034607,GS,-32,411.180000,0.333134,ADDED,0,,SIM-1001-101,dlariviere,NASDAQ,367709330082134,,FILL
Toy,2021-Nov-05 15:58:09.523205,GS,100,409.210000,0.120000,ADDED,0,,SIM-1001-101,dlariviere,NASDAQ,367709330082161,,FILL
Toy,2021-Nov-05 15:58:09.523215,GS,30,409.210000,0.036000,ADDED,0,,SIM-1001-101,dlariviere,NASDAQ,367709330082161,,FILL
Toy,2021-Nov-05 16:00:09.982225,GS,-100,409.110000,1.036406,ADDED,0,,SIM-1001-101,dlariviere,NASDAQ,367709330082162,,FILL
Toy,2021-Nov-05 16:01:31.493810,GS,-10,409.840000,0.103804,ADDED,0,,SIM-1001-101,dlariviere,NASDAQ,367709330082165,,FILL
Toy,2021-Nov-05 16:14:47.008186,GS,3,409.860000,0.003600,ADDED,0,,SIM-1001-101,dlariviere,NASDAQ,367709330082178,,FILL
Toy,2021-Nov-05 16:14:47.010745,GS,107,409.860000,0.128400,ADDED,0,,SIM-1001-101,dlariviere,NASDAQ,367709330082178,,FILL
