Name,Time,Cumulative PnL
Toy,2021-Nov-05 13:30:06.436740,0.000000
Toy,2021-Nov-05 13:31:06.621860,-45.240000
Toy,2021-Nov-05 13:32:06.862161,-281.499082
Toy,2021-Nov-05 13:33:07.058541,-588.759497
Toy,2021-Nov-05 13:34:07.094796,-1584.455646
Toy,2021-Nov-05 13:35:07.186631,-2946.944913
Toy,2021-Nov-05 13:36:07.471284,-1118.386130
Toy,2021-Nov-05 13:37:07.637433,-2437.936069
Toy,2021-Nov-05 13:38:07.913494,-2498.876069
Toy,2021-Nov-05 13:39:08.050830,-2007.196069
Toy,2021-Nov-05 13:40:08.481814,-10977.305669
Toy,2021-Nov-05 13:41:08.635878,-1727.545669
Toy,2021-Nov-05 13:42:08.747512,-3121.545669
Toy,2021-Nov-05 13:43:08.910405,-1385.023669
Toy,2021-Nov-05 13:44:09.046664,-1979.173669
Toy,2021-Nov-05 13:45:09.119868,-8228.000860
Toy,2021-Nov-05 13:46:09.226452,-11114.077410
Toy,2021-Nov-05 13:47:09.577024,-10475.941983
Toy,2021-Nov-05 13:48:09.788468,-2737.941983
Toy,2021-Nov-05 13:49:09.871056,-3255.056572
Toy,2021-Nov-05 13:50:10.050932,-10631.804652
Toy,2021-Nov-05 13:51:10.377722,-11350.804652
Toy,2021-Nov-05 13:52:10.553938,-1856.304652
Toy,2021-Nov-05 13:53:10.852877,-3523.804652
Toy,2021-Nov-05 13:54:11.102416,-2065.804652
Toy,2021-Nov-05 13:55:11.251249,-11419.123821
Toy,2021-Nov-05 13:56:11.420204,-4289.123821
Toy,2021-Nov-05 13:57:11.586684,-3781.642586
Toy,2021-Nov-05 13:58:11.776329,-11939.642586
Toy,2021-Nov-05 13:59:12.017449,-13277.642586
Toy,2021-Nov-05 14:00:12.298960,-3600.642586
Toy,2021-Nov-05 14:01:12.406766,-5982.674605
Toy,2021-Nov-05 14:02:12.516791,-1748.414605
Toy,2021-Nov-05 14:03:12.640896,-2096.914605
Toy,2021-Nov-05 14:04:12.938002,-2542.186938
Toy,2021-Nov-05 14:05:13.176410,-2371.186938
Toy,2021-Nov-05 14:06:13.502756,-10709.210938
Toy,2021-Nov-05 14:07:13.778498,-2468.210938
Toy,2021-Nov-05 14:08:14.007543,-2721.210938
Toy,2021-Nov-05 14:09:14.301020,-3082.450938
Toy,2021-Nov-05 14:10:14.775131,-9580.450938
Toy,2021-Nov-05 14:11:15.010660,-429.450938
Toy,2021-Nov-05 14:12:15.151680,-2317.804147
Toy,2021-Nov-05 14:13:15.304850,-2095.804147
Toy,2021-Nov-05 14:14:15.438609,-3707.804147
Toy,2021-Nov-05 14:15:15.655940,-2718.804147
Toy,2021-Nov-05 14:16:15.813656,-2182.804147
Toy,2021-Nov-05 14:17:16.008092,-2510.714336
Toy,2021-Nov-05 14:18:16.184787,-10537.194336
Toy,2021-Nov-05 14:19:16.558886,-2588.194336
Toy,2021-Nov-05 14:20:16.703291,-2767.282246
Toy,2021-Nov-05 14:21:16.935926,-800.282246
Toy,2021-Nov-05 14:22:17.117216,-219.282246
Toy,2021-Nov-05 14:23:17.226445,-3431.282246
Toy,2021-Nov-05 14:24:17.378992,-2263.522246
Toy,2021-Nov-05 14:25:17.658461,-3225.609978
Toy,2021-Nov-05 14:26:18.124050,-3152.609978
Toy,2021-Nov-05 14:27:18.511067,-3450.609978
Toy,2021-Nov-05 14:28:18.620396,-2221.609978
Toy,2021-Nov-05 14:29:18.780229,-2282.609978
Toy,2021-Nov-05 14:30:18.961436,-2729.609978
Toy,2021-Nov-05 14:31:19.065390,-2367.609978
Toy,2021-Nov-05 14:32:19.510753,-1893.609978
Toy,2021-Nov-05 14:33:19.840749,-1483.609978
Toy,2021-Nov-05 14:34:20.075820,-3643.609978
Toy,2021-Nov-05 14:35:20.571666,-1732.609978
Toy,2021-Nov-05 14:36:20.837432,-2390.609978
Toy,2021-Nov-05 14:37:20.940041,-2043.349578
Toy,2021-Nov-05 14:38:21.036101,-3186.349578
Toy,2021-Nov-05 14:39:21.525956,-3093.089578
Toy,2021-Nov-05 14:40:21.845419,-3939.589578
Toy,2021-Nov-05 14:41:21.895485,-1202.833859
Toy,2021-Nov-05 14:42:22.160132,-1957.373859
Toy,2021-Nov-05 14:43:22.417225,-3298.373859
Toy,2021-Nov-05 14:44:22.652670,-1325.373859
Toy,2021-Nov-05 14:45:22.864788,-2905.873859
Toy,2021-Nov-05 14:46:23.035054,-3137.693859
Toy,2021-Nov-05 14:47:23.508018,-2457.743533
Toy,2021-Nov-05 14:48:23.565765,-2694.513533
Toy,2021-Nov-05 14:49:24.159386,-2990.363533
Toy,2021-Nov-05 14:50:24.454748,-2671.915933
Toy,2021-Nov-05 14:51:24.621884,-2161.148981
Toy,2021-Nov-05 14:52:24.854330,-1741.148981
Toy,2021-Nov-05 14:53:25.096079,-2854.796981
Toy,2021-Nov-05 14:54:25.483639,-3807.796981
Toy,2021-Nov-05 14:55:25.818880,-2817.796981
Toy,2021-Nov-05 14:56:26.055269,-1532.596981
Toy,2021-Nov-05 14:57:26.204881,-2294.596981
Toy,2021-Nov-05 14:58:26.711683,-2729.796981
Toy,2021-Nov-05 14:59:27.185686,-3651.120564
