StrategyName,EntryTime,LastModTime,State,LastUpdateType,Symbol,Side,Type,TIF,Price,Quantity,DisplayQuantity,FilledQty,Remains,AvgFillPrice,ExecutionCost,Account,Trader,Broker,MarketCenter,OrderId,Tag,Reason,Closure
Toy,2021-Nov-05 13:30:30,2021-Nov-05 13:30:39.010000,CANCELLED,CANCEL,MSFT,SELL,LIMIT,DAY,346.130000,-100,0,0,-100,0.000000,0.000000,SIM-1001-101,dlariviere,FILL_SIMULATOR,NASDAQ,367709330081205,,,
Toy,2021-Nov-05 13:30:30,2021-Nov-05 13:31:50.010000,CANCELLED,CANCEL,HD,SELL,LIMIT,DAY,373.710000,-100,0,0,-100,0.000000,0.000000,SIM-1001-101,dlariviere,FILL_SIMULATOR,NASDAQ,367709330081206,,,
Toy,2021-Nov-05 13:30:30,2021-Nov-05 13:31:01.198315,CANCELLED,CANCEL,GS,BUY,LIMIT,DAY,411.030000,100,0,0,100,0.000000,0.000000,SIM-1001-101,dlariviere,FILL_SIMULATOR,NASDAQ,367709330081207,,,
Toy,2021-Nov-05 13:30:30,2021-Nov-05 13:31:07.010000,CANCELLED,CANCEL,DOW,BUY,LIMIT,DAY,57.470000,100,0,0,100,0.000000,0.000000,SIM-1001-101,dlariviere,FILL_SIMULATOR,NASDAQ,367709330081208,,,
Toy,2021-Nov-05 13:30:30,2021-Nov-05 13:30:31.010000,CANCELLED,CANCEL,IBM,BUY,LIMIT,DAY,121.570000,100,0,0,100,0.000000,0.000000,SIM-1001-101,dlariviere,FILL_SIMULATOR,NASDAQ,367709330081209,,,
Toy,2021-Nov-05 13:30:30,2021-Nov-05 13:30:35.010000,CANCELLED,CANCEL,CSCO,BUY,LIMIT,DAY,57.400000,100,0,0,100,0.000000,0.000000,SIM-1001-101,dlariviere,FILL_SIMULATOR,NASDAQ,367709330081210,,,
Toy,2021-Nov-05 13:30:30,2021-Nov-05 13:31:06.010000,CANCELLED,CANCEL,CRM,BUY,LIMIT,DAY,308.000000,100,0,0,100,0.000000,0.000000,SIM-1001-101,dlariviere,FILL_SIMULATOR,NASDAQ,367709330081211,,,
Toy,2021-Nov-05 13:30:30,2021-Nov-05 13:30:31.010000,CANCELLED,CANCEL,CAT,BUY,LIMIT,DAY,205.240000,100,0,0,100,0.000000,0.000000,SIM-1001-101,dlariviere,FILL_SIMULATOR,NASDAQ,367709330081212,,,
Toy,2021-Nov-05 13:30:30,2021-Nov-05 13:30:46.268805,CANCELLED,CANCEL,HON,SELL,LIMIT,DAY,224.520000,-100,0,0,-100,0.000000,0.000000,SIM-1001-101,dlariviere,FILL_SIMULATOR,NASDAQ,367709330081213,,,
Toy,2021-Nov-05 13:30:30,2021-Nov-05 13:30:32.010000,CANCELLED,CANCEL,DIS,BUY,LIMIT,DAY,173.110000,100,0,0,100,0.000000,0.000000,SIM-1001-101,dlariviere,FILL_SIMULATOR,NASDAQ,367709330081214,,,
Toy,2021-Nov-05 13:30:30,2021-Nov-05 13:30:56.010000,CANCELLED,CANCEL,BA,BUY,LIMIT,DAY,206.570000,100,0,0,100,0.000000,0.000000,SIM-1001-101,dlariviere,FILL_SIMULATOR,NASDAQ,367709330081215,,,
Toy,2021-Nov-05 13:30:30,2021-Nov-05 13:30:41.816308,CANCELLED,CANCEL,AXP,SELL,LIMIT,DAY,200.000000,-100,0,0,-100,0.000000,0.000000,SIM-1001-101,dlariviere,FILL_SIMULATOR,NASDAQ,367709330081216,,,
Toy,2021-Nov-05 13:30:30,2021-Nov-05 13:30:40.010000,CANCELLED,CANCEL,CVX,BUY,LIMIT,DAY,114.290000,100,0,0,100,0.000000,0.000000,SIM-1001-101,dlariviere,FILL_SIMULATOR,NASDAQ,367709330081217,,,
Toy,2021-Nov-05 13:30:32,2021-Nov-05 13:30:56.386255,CANCELLED,CANCEL,IBM,SELL,LIMIT,DAY,131.000000,-100,0,0,-100,0.000000,0.000000,SIM-1001-101,dlariviere,FILL_SIMULATOR,NASDAQ,367709330081218,,,
Toy,2021-Nov-05 13:30:32,2021-Nov-05 13:31:41.010000,CANCELLED,CANCEL,CAT,SELL,LIMIT,DAY,205.730000,-100,0,0,-100,0.000000,0.000000,SIM-1001-101,dlariviere,FILL_SIMULATOR,NASDAQ,367709330081219,,,
Toy,2021-Nov-05 13:30:33,2021-Nov-05 13:31:26.010000,CANCELLED,CANCEL,DIS,SELL,LIMIT,DAY,175.000000,-100,0,0,-100,0.000000,0.000000,SIM-1001-101,dlariviere,FILL_SIMULATOR,NASDAQ,367709330081220,,,
Toy,2021-Nov-05 13:30:36,2021-Nov-05 13:31:05.010000,CANCELLED,CANCEL,CSCO,SELL,LIMIT,DAY,58.180000,-100,0,0,-100,0.000000,0.000000,SIM-1001-101,dlariviere,FILL_SIMULATOR,NASDAQ,367709330081221,,,
Toy,2021-Nov-05 13:30:40,2021-Nov-05 13:31:01.743644,FILLED,FILL,MSFT,BUY,LIMIT,DAY,337.490000,100,0,100,0,337.490000,0.120000,SIM-1001-101,dlariviere,FILL_SIMULATOR,NASDAQ,367709330081222,,,
Toy,2021-Nov-05 13:30:41,2021-Nov-05 13:31:17.010000,CANCELLED,CANCEL,CVX,SELL,LIMIT,DAY,114.300000,-100,0,0,-100,0.000000,0.000000,SIM-1001-101,dlariviere,FILL_SIMULATOR,NASDAQ,367709330081223,,,
Toy,2021-Nov-05 13:30:42,2021-Nov-05 13:31:00.693442,FILLED,FILL,AXP,BUY,LIMIT,DAY,176.670000,100,0,100,0,176.670000,0.120000,SIM-1001-101,dlariviere,FILL_SIMULATOR,NASDAQ,367709330081224,,,
Toy,2021-Nov-05 13:30:48,2021-Nov-05 13:30:59.090593,CANCELLED,CANCEL,HON,BUY,LIMIT,DAY,224.020000,100,0,0,100,0.000000,0.000000,SIM-1001-101,dlariviere,FILL_SIMULATOR,NASDAQ,367709330081225,,,
Toy,2021-Nov-05 13:30:57,2021-Nov-05 13:30:57.010000,REJECTED,REJECT,IBM,BUY,LIMIT,DAY,0.000000,100,0,0,100,0.000000,0.000000,SIM-1001-101,dlariviere,FILL_SIMULATOR,NASDAQ,367709330081226,,non-market orders must have a positive limit price,
Toy,2021-Nov-05 13:30:57,2021-Nov-05 13:31:09.010000,CANCELLED,CANCEL,BA,SELL,LIMIT,DAY,224.870000,-100,0,0,-100,0.000000,0.000000,SIM-1001-101,dlariviere,FILL_SIMULATOR,NASDAQ,367709330081227,,,
Toy,2021-Nov-05 13:30:58,2021-Nov-05 13:30:58.010000,REJECTED,REJECT,IBM,BUY,LIMIT,DAY,0.000000,100,0,0,100,0.000000,0.000000,SIM-1001-101,dlariviere,FILL_SIMULATOR,NASDAQ,367709330081228,,non-market orders must have a positive limit price,
Toy,2021-Nov-05 13:30:59,2021-Nov-05 13:30:59.010000,REJECTED,REJECT,IBM,BUY,LIMIT,DAY,0.000000,100,0,0,100,0.000000,0.000000,SIM-1001-101,dlariviere,FILL_SIMULATOR,NASDAQ,367709330081229,,non-market orders must have a positive limit price,
Toy,2021-Nov-05 13:31:00,2021-Nov-05 13:31:06.010000,CANCELLED,CANCEL,IBM,BUY,LIMIT,DAY,121.570000,100,0,0,100,0.000000,0.000000,SIM-1001-101,dlariviere,FILL_SIMULATOR,NASDAQ,367709330081230,,,
Toy,2021-Nov-05 13:31:02,2021-Nov-05 13:31:55.055418,CANCELLED,CANCEL,GS,SELL,LIMIT,DAY,411.910000,-100,0,0,-100,0.000000,0.000000,SIM-1001-101,dlariviere,FILL_SIMULATOR,NASDAQ,367709330081231,,,
Toy,2021-Nov-05 13:31:02,2021-Nov-05 14:00:16.507422,FILLED,FILL,AXP,SELL,LIMIT,DAY,176.790000,-200,0,-200,0,176.790000,1.032019,SIM-1001-101,dlariviere,FILL_SIMULATOR,NASDAQ,367709330081232,,,
Toy,2021-Nov-05 13:31:06,2021-Nov-05 13:31:09.886263,FILLED,FILL,MSFT,SELL,LIMIT,DAY,337.690000,-200,0,-200,0,337.690000,1.752851,SIM-1001-101,dlariviere,FILL_SIMULATOR,NASDAQ,367709330081233,,,
Toy,2021-Nov-05 13:31:06,2021-Nov-05 13:31:16.010000,CANCELLED,CANCEL,CSCO,BUY,LIMIT,DAY,56.060000,100,0,0,100,0.000000,0.000000,SIM-1001-101,dlariviere,FILL_SIMULATOR,NASDAQ,367709330081234,,,
Toy,2021-Nov-05 13:31:07,2021-Nov-05 13:31:12.010000,CANCELLED,CANCEL,IBM,SELL,LIMIT,DAY,131.000000,-100,0,0,-100,0.000000,0.000000,SIM-1001-101,dlariviere,FILL_SIMULATOR,NASDAQ,367709330081235,,,
Toy,2021-Nov-05 13:31:07,2021-Nov-05 13:31:13.010000,CANCELLED,CANCEL,CRM,SELL,LIMIT,DAY,310.000000,-100,0,0,-100,0.000000,0.000000,SIM-1001-101,dlariviere,FILL_SIMULATOR,NASDAQ,367709330081236,,,
Toy,2021-Nov-05 13:31:08,2021-Nov-05 13:31:23.010000,CANCELLED,CANCEL,DOW,SELL,LIMIT,DAY,57.570000,-100,0,0,-100,0.000000,0.000000,SIM-1001-101,dlariviere,FILL_SIMULATOR,NASDAQ,367709330081237,,,
Toy,2021-Nov-05 13:31:10,2021-Nov-05 13:31:32.010000,CANCELLED,CANCEL,BA,BUY,LIMIT,DAY,206.570000,100,0,0,100,0.000000,0.000000,SIM-1001-101,dlariviere,FILL_SIMULATOR,NASDAQ,367709330081238,,,
Toy,2021-Nov-05 13:31:13,2021-Nov-05 13:31:45.010000,CANCELLED,CANCEL,IBM,BUY,LIMIT,DAY,121.780000,100,0,0,100,0.000000,0.000000,SIM-1001-101,dlariviere,FILL_SIMULATOR,NASDAQ,367709330081239,,,
Toy,2021-Nov-05 13:31:14,2021-Nov-05 13:31:22.010000,CANCELLED,CANCEL,CRM,BUY,LIMIT,DAY,308.860000,100,0,0,100,0.000000,0.000000,SIM-1001-101,dlariviere,FILL_SIMULATOR,NASDAQ,367709330081240,,,
Toy,2021-Nov-05 13:31:17,2021-Nov-05 13:31:56.010000,CANCELLED,CANCEL,CSCO,SELL,LIMIT,DAY,58.180000,-100,0,0,-100,0.000000,0.000000,SIM-1001-101,dlariviere,FILL_SIMULATOR,NASDAQ,367709330081241,,,
Toy,2021-Nov-05 13:31:18,2021-Nov-05 13:31:30.617047,FILLED,FILL,CVX,BUY,LIMIT,DAY,114.110000,100,0,100,0,114.110000,0.120000,SIM-1001-101,dlariviere,FILL_SIMULATOR,NASDAQ,367709330081242,,,
Toy,2021-Nov-05 13:31:23,2021-Nov-05 13:31:28.010000,CANCELLED,CANCEL,CRM,SELL,LIMIT,DAY,310.000000,-100,0,0,-100,0.000000,0.000000,SIM-1001-101,dlariviere,FILL_SIMULATOR,NASDAQ,367709330081243,,,
Toy,2021-Nov-05 13:31:24,2021-Nov-05 13:31:40.010000,CANCELLED,CANCEL,DOW,BUY,LIMIT,DAY,55.680000,100,0,0,100,0.000000,0.000000,SIM-1001-101,dlariviere,FILL_SIMULATOR,NASDAQ,367709330081244,,,
Toy,2021-Nov-05 13:31:27,2021-Nov-05 13:31:31.108410,FILLED,FILL,DIS,BUY,LIMIT,DAY,172.790000,100,0,100,0,172.790000,0.120000,SIM-1001-101,dlariviere,FILL_SIMULATOR,NASDAQ,367709330081245,,,
Toy,2021-Nov-05 13:31:29,2021-Nov-05 13:31:36.010000,CANCELLED,CANCEL,CRM,BUY,LIMIT,DAY,308.860000,100,0,0,100,0.000000,0.000000,SIM-1001-101,dlariviere,FILL_SIMULATOR,NASDAQ,367709330081246,,,
Toy,2021-Nov-05 13:31:33,2021-Nov-05 13:32:43.010000,CANCELLED,CANCEL,BA,SELL,LIMIT,DAY,224.870000,-100,0,0,-100,0.000000,0.000000,SIM-1001-101,dlariviere,FILL_SIMULATOR,NASDAQ,367709330081247,,,
Toy,2021-Nov-05 13:31:35,2021-Nov-05 13:32:03.750199,FILLED,FILL,CVX,SELL,LIMIT,DAY,114.070000,-200,0,-200,0,114.070000,0.751034,SIM-1001-101,dlariviere,FILL_SIMULATOR,NASDAQ,367709330081248,,,
Toy,2021-Nov-05 13:31:37,2021-Nov-05 13:31:41.010000,CANCELLED,CANCEL,CRM,SELL,LIMIT,DAY,310.000000,-100,0,0,-100,0.000000,0.000000,SIM-1001-101,dlariviere,FILL_SIMULATOR,NASDAQ,367709330081249,,,
Toy,2021-Nov-05 13:31:38,2021-Nov-05 13:31:42.676598,FILLED,FILL,MSFT,BUY,LIMIT,DAY,337.530000,200,0,200,0,337.530000,0.240000,SIM-1001-101,dlariviere,FILL_SIMULATOR,NASDAQ,367709330081250,,,
Toy,2021-Nov-05 13:31:40,2021-Nov-05 13:32:03.010000,CANCELLED,CANCEL,HON,SELL,LIMIT,DAY,224.300000,-100,0,0,-100,0.000000,0.000000,SIM-1001-101,dlariviere,FILL_SIMULATOR,NASDAQ,367709330081251,,,
Toy,2021-Nov-05 13:31:41,2021-Nov-05 13:31:47.010000,CANCELLED,CANCEL,DOW,SELL,LIMIT,DAY,57.590000,-100,0,0,-100,0.000000,0.000000,SIM-1001-101,dlariviere,FILL_SIMULATOR,NASDAQ,367709330081252,,,
Toy,2021-Nov-05 13:31:42,2021-Nov-05 13:31:59.010000,CANCELLED,CANCEL,CRM,BUY,LIMIT,DAY,294.040000,100,0,0,100,0.000000,0.000000,SIM-1001-101,dlariviere,FILL_SIMULATOR,NASDAQ,367709330081253,,,
Toy,2021-Nov-05 13:31:42,2021-Nov-05 13:32:58.377789,CANCELLED,CANCEL,CAT,BUY,LIMIT,DAY,204.990000,100,0,0,100,0.000000,0.000000,SIM-1001-101,dlariviere,FILL_SIMULATOR,NASDAQ,367709330081254,,,
Toy,2021-Nov-05 13:31:46,2021-Nov-05 13:32:13.010000,CANCELLED,CANCEL,IBM,BUY,LIMIT,DAY,122.110000,100,0,0,100,0.000000,0.000000,SIM-1001-101,dlariviere,FILL_SIMULATOR,NASDAQ,367709330081255,,,
Toy,2021-Nov-05 13:31:48,2021-Nov-05 13:33:01.010000,CANCELLED,CANCEL,DOW,BUY,LIMIT,DAY,57.590000,100,0,0,100,0.000000,0.000000,SIM-1001-101,dlariviere,FILL_SIMULATOR,NASDAQ,367709330081256,,,
Toy,2021-Nov-05 13:31:51,2021-Nov-05 13:32:54.010000,CANCELLED,CANCEL,HD,BUY,LIMIT,DAY,365.300000,100,0,0,100,0.000000,0.000000,SIM-1001-101,dlariviere,FILL_SIMULATOR,NASDAQ,367709330081257,,,
